"","x"
"1",4332728
"2",4333147
"3",4333569
"4",4333590
"5",4334401
"6",4334877
"7",4336146
"8",4336342
"9",4339358
"10",4354253
"11",4372219
"12",4373538
"13",4379880
"14",4381159
"15",4384320
"16",4392148
"17",4404605
"18",4424285
"19",4429865
"20",4443776
"21",4447916
"22",4448050
"23",4449101
"24",4449369
"25",4449420
"26",4449574
"27",4449717
"28",4450348
"29",4450899
"30",4452039
"31",4452506
"32",4454520
"33",4460944
"34",4472380
"35",4475413
"36",4476704
"37",4489139
"38",4494914
"39",4495599
"40",4497128
"41",4497415
"42",4505777
"43",4521037
"44",4690432
"45",4821358
"46",4848619
"47",5063232
"48",5122499
"49",5123950
"50",5128386
"51",5550049
"52",5470308
"53",5410548
"54",5409913
"55",5409261
"56",5407126
"57",5389739
"58",5388619
"59",5387474
"60",5361762
"61",5207972
"62",5198273
"63",5193241
"64",5186811
"65",5185783
